binomio,class,family,invasora,habitat,registros,zonas,nombre_comun
Soleirolia soleirolii,Magnoliopsida,Rosaceae,False,terrestrial,25,9,
Cytisus scoparius,Magnoliopsida,Fabaceae,True,terrestrial,24,7,
Hypochaeris radicata,Magnoliopsida,Asteraceae,False,terrestrial,24,11,
Galenia pubescens,Magnoliopsida,Aizoaceae,False,terrestrial,24,4,
Erodium malacoides,Magnoliopsida,Geraniaceae,False,terrestrial,24,5,
Dactylis glomerata,Liliopsida,Poaceae,False,terrestrial,24,10,
Vicia sativa,Magnoliopsida,Fabaceae,False,terrestrial,23,8,
Melissa officinalis,Magnoliopsida,Lamiaceae,True,terrestrial,23,10,
Eichhornia crassipes,Liliopsida,Pontederiaceae,False,freshwater,23,3,
Physalis peruviana,Magnoliopsida,Solanaceae,True,terrestrial,23,7,
Lactuca serriola,Magnoliopsida,Asteraceae,False,terrestrial,23,3,
Populus nigra,Magnoliopsida,Salicaceae,False,terrestrial,23,9,
Tetragonia tetragonoides,Magnoliopsida,Aizoaceae,False,terrestrial,22,3,
Trifolium dubium,Liliopsida,Fabaceae,False,terrestrial,22,8,
Capra hircus,Mammalia,Bovidae,True,terrestrial,22,6,
Rattus norvegicus,Mammalia,Muridae,True,terrestrial,22,11,rata gris
Cotula australis,Magnoliopsida,Asteraceae,False,terrestrial,22,6,
Bartsia trixago,Magnoliopsida,Orobanchaceae,False,terrestrial,21,5,
Bos taurus,Mammalia,Bovidae,True,terrestrial,21,9,
Arundo donax,Liliopsida,Poaceae,True,terrestrial,21,6,
Sherardia arvensis,Magnoliopsida,Rubiaceae,False,terrestrial,21,8,
Lepus europaeus,Mammalia,Leporidae,True,terrestrial,21,10,
Ondatra zibethicus,Mammalia,Muridae,False,terrestrial|freshwater,21,1,
Cynodon dactylon,Liliopsida,Poaceae,True,terrestrial,21,7,
Erigeron karvinskianus,Magnoliopsida,Asteraceae,True,terrestrial,20,10,
Tradescantia fluminensis,Liliopsida,Commelinaceae,False,terrestrial,20,5,
Dipsacus sativus,Magnoliopsida,Dipsacaceae,False,terrestrial,20,5,
Melilotus albus,Magnoliopsida,Fabaceae,True,terrestrial,20,7,
Veronica serpyllifolia,Magnoliopsida,Plantaginaceae,False,terrestrial,19,7,
Ranunculus muricatus,Magnoliopsida,Ranunculaceae,True,terrestrial,18,6,
Solanum marginatum,Magnoliopsida,Solanaceae,False,terrestrial,18,6,
Picris echioides,Magnoliopsida,Asteraceae,False,terrestrial,18,5,
Amaranthus deflexus,Magnoliopsida,Amaranthaceae,False,terrestrial,18,5,
Arctotheca calendula,Magnoliopsida,Asteraceae,True,terrestrial,17,2,
Trifolium fragiferum,Magnoliopsida,Fabaceae,False,terrestrial,17,5,
Medicago arabica,Magnoliopsida,Fabaceae,False,terrestrial,17,7,
Chrysanthemoides monilifera,Magnoliopsida,Asteraceae,False,terrestrial,17,1,
Leucanthemum vulgare,Magnoliopsida,Asteraceae,True,terrestrial,17,9,
